transfer_id,total_time,read_wait_time,read_proc_time,read_throughput,read_throughput_pb,read_load,deser_wait_time,deser_proc_time,deser_throughput,deser_throughput_pb,deser_load,comp_wait_time,comp_proc_time,comp_throughput,comp_throughput_pb,comp_load,send_wait_time,send_proc_time,send_throughput,send_throughput_pb,send_load
0,61252,35521.38,1591.12,199.12,805.17,5.00,45201.50,2847.25,197.92,829.11,0.08,48812.00,26.00,193.33,363153.85,0.08,13330.00,46168.00,190.80,203.15,56.86
0,62776,37926.62,1542.62,187.23,836.99,4.79,47767.50,2965.75,187.44,795.95,0.08,51477.00,30.00,183.31,314733.33,0.08,13325.00,48853.00,180.96,191.98,57.85
0,61918,34572.88,1522.38,204.73,833.03,4.79,42371.00,3083.50,209.00,765.58,0.43,46266.00,28.00,203.96,337214.29,0.43,12094.00,43619.00,201.37,215.00,57.30
0,103725,39755.38,1484.00,179.20,851.48,4.05,50566.75,2923.75,177.73,807.43,0.05,54251.00,27.00,173.95,349703.70,0.05,14283.00,51750.00,171.67,181.22,58.36
0,67355,37906.38,1604.00,187.04,777.76,4.72,48033.50,2933.50,186.52,804.83,0.06,51690.00,28.00,182.56,337214.29,0.06,13997.00,49084.00,180.15,191.06,56.92
0,105089,55164.38,1590.88,130.21,824.78,3.28,71605.25,2908.75,127.69,811.74,0.03,75064.00,28.00,125.74,337214.29,0.03,19724.00,72662.00,124.04,129.08,59.50
0,89774,53936.75,3834.50,162.60,307.73,18.05,64371.00,3529.50,152.74,669.27,0.05,75760.00,30.00,124.55,314666.67,0.05,18154.00,57887.00,124.38,162.94,44.61
0,76552,55041.75,4633.62,157.35,256.23,10.88,66779.00,3778.25,146.83,624.68,0.08,65883.00,33.00,143.21,286060.61,0.08,6816.00,59651.00,142.88,158.07,51.21
0,72705,52600.12,4560.88,164.24,259.44,11.59,64341.25,3771.00,152.68,625.90,0.05,63126.00,33.00,149.46,286060.61,0.05,6445.00,57202.00,149.13,164.82,50.73
0,105569,51485.62,4687.00,167.19,250.24,11.39,59120.50,3685.50,156.38,640.65,0.06,61582.00,33.00,153.21,286060.61,0.06,6813.00,55271.00,152.86,170.60,50.92
0,70060,49595.38,4578.12,173.39,256.28,11.50,56731.75,3758.00,162.68,628.39,0.12,59547.00,32.00,158.45,295000.00,0.12,6890.00,53060.00,158.14,177.72,50.57
0,216405,183602.75,3277.38,50.23,397.94,2.92,200913.50,3250.00,46.79,726.90,0.01,203376.00,30.00,46.41,314666.67,0.01,29652.00,200108.00,45.94,46.93,59.77
0,244392,207234.75,2937.12,44.66,463.90,1.33,225654.00,3232.50,41.58,730.92,0.02,228300.00,29.00,41.34,325517.24,0.02,56412.00,226084.00,40.78,41.48,61.37
0,158109,131509.75,3763.25,69.41,331.83,5.38,145248.00,3423.25,64.87,689.77,0.05,146820.00,29.00,64.28,325517.24,0.05,10457.00,142446.00,63.93,66.08,57.21
0,152160,126857.25,3284.88,72.14,378.18,5.03,139902.50,3352.50,67.33,704.49,0.03,141373.00,30.00,66.76,314666.67,0.03,9557.00,137961.00,66.39,68.23,57.74
0,72229,51693.75,4228.12,167.95,279.28,10.37,58647.75,3825.25,157.15,617.15,0.03,61264.00,31.00,154.01,304516.13,0.03,6193.00,55624.00,153.66,169.50,51.90
0,77976,57021.12,4406.62,152.87,269.54,10.41,65140.00,3515.75,142.81,671.50,0.00,67296.00,28.00,140.22,337142.86,0.00,6859.00,61186.00,139.84,154.07,52.15
0,240840,207596.38,3001.38,44.58,461.90,1.92,226454.50,3227.50,41.52,731.30,0.03,228639.00,30.00,41.28,314666.67,0.03,42675.00,226096.00,40.80,41.50,60.85
0,236120,203180.62,2896.88,45.55,465.52,1.36,221257.25,3176.50,42.38,743.09,0.01,224006.00,29.00,42.14,325517.24,0.01,50446.00,221452.00,41.59,42.34,61.29
0,83731,57046.88,4352.38,152.96,269.84,10.56,64519.25,3648.75,143.27,646.83,0.06,67265.00,30.00,140.28,314666.67,0.06,6545.00,61132.00,139.99,154.27,51.87
0,239731,205418.88,3082.00,45.02,451.35,1.43,224443.25,3198.50,41.85,738.53,0.02,227012.00,29.00,41.58,325517.24,0.02,51352.00,224172.00,41.04,41.83,61.20
0,33353,13412.00,9172.38,416.22,133.03,32.50,22327.75,7829.75,384.74,301.47,1.04,25664.00,42.00,367.23,224761.90,1.04,8028.00,17918.00,366.20,525.84,25.77
0,30389,13173.75,8461.38,434.48,141.60,31.84,21606.50,7614.75,401.92,309.99,1.48,24561.00,40.00,383.71,236000.00,1.48,7314.00,17487.00,382.68,538.80,26.12
0,38010,14588.50,8467.50,407.83,141.38,34.41,25075.25,7419.00,381.09,318.12,1.30,26196.00,39.00,359.82,242051.28,1.30,10222.00,16041.00,359.53,588.12,24.41
0,39298,12642.25,10920.88,399.30,116.96,51.07,24210.50,7842.75,377.14,300.98,0.96,26407.00,50.00,356.81,188800.00,0.96,16613.00,9885.00,356.43,954.27,7.19
0,96420,17856.75,6346.75,388.45,187.44,27.86,23690.75,6849.50,364.01,344.66,1.00,27090.00,40.00,347.94,236000.00,1.00,9725.00,17471.00,347.48,539.81,31.57
0,38836,14344.25,9283.38,397.96,133.54,38.11,21840.00,7469.25,374.49,315.98,0.89,26369.00,38.00,357.48,248421.05,0.89,10086.00,16364.00,357.10,576.39,20.70
0,35294,14685.38,8927.75,398.28,141.31,39.70,21774.00,7417.25,375.92,318.30,1.33,26540.00,42.00,355.13,224761.90,1.33,12042.00,14574.00,354.77,647.25,18.41
0,69982,23994.50,5421.50,319.47,219.95,22.24,30270.25,5232.75,299.86,451.10,0.35,32955.00,33.00,286.16,286060.61,0.35,8336.00,24765.00,285.74,380.82,38.47
0,44974,25481.88,5702.25,301.39,206.59,21.86,32425.00,5508.50,283.30,428.56,0.28,34978.00,36.00,269.61,262222.22,0.28,9573.00,25551.00,269.22,369.10,39.33
0,42703,23840.88,5491.75,320.37,215.53,21.73,30440.25,5282.50,300.33,446.77,0.30,32899.00,33.00,286.64,286060.61,0.30,9047.00,24014.00,286.20,392.69,39.42
0,47560,27070.00,5304.88,290.19,221.94,19.65,34191.50,4828.75,271.56,488.93,0.16,36242.00,31.00,260.24,304516.13,0.16,8568.00,27880.00,259.79,338.24,41.81
0,58141,24206.25,5446.75,316.91,216.91,21.59,30926.00,5157.50,297.27,457.59,0.21,33225.00,33.00,283.83,286060.61,0.21,8987.00,24402.00,283.39,386.44,39.59
0,41615,23665.50,5638.88,320.70,208.59,18.15,32555.25,5250.75,300.01,449.48,0.21,32925.00,33.00,286.43,286060.61,0.21,8307.00,25051.00,285.56,376.11,43.06
0,43992,23459.12,5640.38,323.01,208.60,19.27,31484.25,5103.25,304.44,462.50,0.36,32510.00,32.00,290.09,295000.00,0.36,8149.00,24725.00,289.38,381.23,41.73
0,44675,23771.88,5558.62,320.39,211.95,18.59,32854.00,5223.25,300.03,451.91,0.32,32965.00,32.00,286.08,295000.00,0.32,8302.00,25107.00,285.22,375.23,42.29
0,36858,12228.00,10375.38,415.88,116.94,40.19,21482.00,7799.50,387.83,302.60,1.19,25657.00,41.00,367.33,230243.90,1.19,10964.00,14837.00,366.65,635.37,17.92
0,38536,13048.50,9368.25,419.44,127.55,31.62,20523.75,7579.50,391.63,311.41,0.77,25460.00,40.00,370.18,236000.00,0.77,9343.00,16257.00,369.51,579.87,27.31
0,37072,11023.75,11132.88,424.18,111.62,46.88,21411.50,7929.25,392.45,297.72,0.62,25381.00,43.00,371.29,219534.88,0.62,11837.00,13692.00,370.59,688.50,10.81
0,34429,12418.62,10068.88,418.08,128.90,36.12,22168.75,7668.50,391.33,307.83,0.85,25199.00,46.00,373.94,205217.39,0.85,9442.00,15923.00,373.19,591.97,22.58
0,204516,0.00,7.75,1084.52,135.57,64.00,15545741491143.50,1727304610128.25,0.00,0.00,0.00,5181913831752.00,1727304610129.00,0.00,0.00,0.00,1365.00,1727304610129.00,0.00,0.00,0.00
0,12130,0.00,6.50,1263.10,157.89,64.00,15545742252167.25,1727304694685.00,0.00,0.00,0.00,5181914085200.00,1727304694685.00,0.00,0.00,0.00,1143.00,1727304694685.00,0.00,0.00,0.00
0,11835,0.00,6.62,1214.29,151.79,64.00,15545742657683.75,1727304739742.00,0.00,0.00,0.00,5181914220632.00,1727304739742.00,0.00,0.00,0.00,1404.00,1727304739742.00,0.00,0.00,0.00
0,37511,14009.62,8945.75,409.63,132.24,27.78,22882.75,7643.50,382.83,308.86,1.19,26006.00,38.00,362.45,248421.05,1.19,8532.00,17649.00,361.68,534.02,30.59
0,53188,31868.00,5181.75,253.13,229.53,16.42,41201.75,4590.75,229.39,515.53,0.12,42355.00,32.00,222.70,295000.00,0.12,7873.00,35133.00,222.04,268.27,45.47
0,28661,0.00,8.00,1007.94,125.99,64.00,15545749046888.00,1727305449654.00,0.00,0.00,0.00,5181916350433.00,1727305449654.00,0.00,0.00,0.00,1469.00,1727305449654.00,0.00,0.00,0.00
0,11690,0.00,7.25,1128.57,145.24,64.00,15545749256584.00,1727305472955.00,0.00,0.00,0.00,5181916420317.00,1727305472955.00,0.00,0.00,0.00,1451.00,1727305472955.00,0.00,0.00,0.00
0,634473,38762.38,3846.12,220.29,308.66,8.83,48320.75,3755.50,203.69,628.86,0.09,52606.00,38.00,179.31,248421.05,0.09,11601.00,41112.00,179.17,229.52,21.57
0,54105,39966.50,4767.50,209.80,259.25,8.08,55862.25,3965.75,190.31,595.78,0.09,52678.00,38.00,179.07,248421.05,0.09,11014.00,41787.00,178.92,225.79,22.08
1728225030827177388,49189,30892.00,2688.00,219.92,2747.40,5.61,34221.00,9563.00,215.63,987.14,0.07,44841.00,26.00,210.40,363076.92,0.07,40872.00,44241.00,204.75,210.51,120.35
1728225643018905243,50170,31383.00,2730.00,216.49,2705.13,5.53,34603.00,9752.00,212.86,968.01,0.04,45415.00,26.00,207.74,363076.92,0.04,41009.00,44816.00,202.19,207.81,118.81
1728226400767321111,49203,30466.00,2718.00,222.54,2717.07,5.61,33878.00,9510.00,217.59,992.64,0.09,44422.00,28.00,212.37,337142.86,0.09,45366.00,43932.00,206.26,211.96,118.87
1728237454135442894,15216,1646.00,7127.00,841.79,1036.20,42.50,154.00,10198.00,912.51,308.56,80.33,11602.00,42.00,810.72,224761.90,80.33,6328.00,5322.00,810.56,1773.58,2.00
1728238422672736094,15211,837.00,7247.00,913.53,1019.04,47.75,140.67,9592.33,971.15,328.10,66.92,10999.00,39.00,855.23,242051.28,66.92,3018.00,8023.00,855.06,1176.49,9.83
1728245906493716316,14203,656.00,7540.00,900.94,979.44,42.91,1070.25,8618.50,976.25,274.02,12.09,10864.00,45.00,865.35,209800.00,12.09,1373.00,9538.00,865.26,989.73,67.91
1728245986400159090,15199,1126.00,7410.00,865.16,996.63,33.92,202.67,9970.00,928.46,315.72,69.00,11315.00,33.00,831.79,286060.61,69.00,4002.00,7783.00,827.20,1209.17,20.67
1728246007332498764,18220,3144.00,7169.00,716.09,1030.13,42.40,501.67,12623.33,719.81,249.55,80.27,14287.00,58.00,658.02,162758.62,80.27,8418.00,5929.00,657.95,1592.01,1.73
1728246030605161580,47298,5006.00,28337.00,221.49,260.61,34.41,566.00,41719.33,223.38,75.43,88.52,43713.00,165.00,215.14,57212.12,88.52,23530.00,20358.00,215.11,463.65,1.23
